owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
eus$q,a,f_106266_,,sprite,spriteProvider,field_18296,field,protected final SpriteSet
ewr,a,f_108448_,,angle,accelerationAngle,field_3897,field,private float
eus$w,a,f_106371_,,sprite,spriteProvider,field_18297,field,protected final SpriteSet
evv,a,f_233890_,,sprites,spriteProvider,field_37959,field,private final SpriteSet
ewo,a,f_108387_,,entity,entity,field_3894,field,private final Entity
ewo,b,f_108388_,,life,emitterAge,field_3896,field,private int
ewo,D,f_108385_,,lifeTime,maxEmitterAge,field_3895,field,private final int
ewo,E,f_108386_,,particleType,parameters,field_3893,field,private final ParticleOptions
evz,D,f_107663_,,quadSize,scale,field_17867,field,protected float
eus$r,a,f_106287_,,sprite,spriteProvider,field_20518,field,protected final SpriteSet
euv,a,f_172092_,,sprites,spriteProvider,field_28247,field,private final SpriteSet
evj,a,f_107111_,,model,model,field_21793,field,private final Model
evj,b,f_107112_,,renderType,layer,field_21792,field,private final RenderType
eus$h,a,f_172000_,,sprite,spriteProvider,field_28074,field,protected final SpriteSet
ewe$d,a,f_107845_,,sprite,spriteProvider,field_17874,field,private final SpriteSet
evi$a,a,f_107090_,,sprite,spriteProvider,field_17818,field,private final SpriteSet
eey$a,a,f_231557_,,values,values,comp_671,field,private final List<T>
eey$a,b,f_231558_,,altValues,altValues,comp_672,field,private final List<T>
eey$a,c,f_231559_,,altCondition,altCondition,comp_673,field,private final BooleanSupplier
eey$a,d,f_231560_,,valueSetter,valueSetter,comp_674,field,private final OptionInstance$CycleableValueSet$ValueSetter<T>
eey$a,e,f_231561_,,codec,codec,comp_675,field,private final com.mojang.serialization.Codec<T>
eew,a,f_91503_,,minecraft,client,field_1779,field,private final Minecraft
eew,b,f_91504_,,isLeftPressed,leftButtonClicked,field_1791,field,private boolean
eew,c,f_91505_,,isMiddlePressed,middleButtonClicked,field_1790,field,private boolean
eew,d,f_91506_,,isRightPressed,rightButtonClicked,field_1788,field,private boolean
eew,e,f_91507_,,xpos,x,field_1795,field,private double
eew,f,f_91508_,,ypos,y,field_1794,field,private double
eew,g,f_91509_,,fakeRightMouse,controlLeftTicks,field_1781,field,private int
eew,h,f_91510_,,activeButton,activeButton,field_1780,field,private int
eew,i,f_91511_,,ignoreFirstMove,hasResolutionChanged,field_1784,field,private boolean
eew,j,f_91512_,,clickDepth,field_1796,field_1796,field,private int
eew,k,f_91513_,,mousePressedTime,glfwTime,field_1792,field,private double
eew,l,f_91514_,,smoothTurnX,cursorXSmoother,field_1793,field,private final SmoothDouble
eew,m,f_91515_,,smoothTurnY,cursorYSmoother,field_1782,field,private final SmoothDouble
eew,n,f_91516_,,accumulatedDX,cursorDeltaX,field_1789,field,private double
eew,o,f_91517_,,accumulatedDY,cursorDeltaY,field_1787,field,private double
eew,p,f_91518_,,accumulatedScroll,eventDeltaWheel,field_1786,field,private double
eew,q,f_91519_,,lastMouseEventTime,lastMouseUpdateTime,field_1785,field,private double
eew,r,f_91520_,,mouseGrabbed,cursorLocked,field_1783,field,private boolean
eeq,a,FAST,,FAST,FAST,field_25427,enum,
eeq,b,FANCY,,FANCY,FANCY,field_25428,enum,
eeq,c,FABULOUS,,FABULOUS,FABULOUS,field_25429,enum,
eeq,d,f_90763_,,BY_ID,VALUES,field_25430,field,private static final GraphicsStatus[]
eeq,e,f_90764_,,id,id,field_25431,field,private final int
eeq,f,f_90765_,,key,translationKey,field_25432,field,private final String
efi$1,c,f_92438_,,collector,collector,field_24219,field,private final ComponentCollector
ead,a,f_86257_,,LOGGER,LOGGER,field_19475,field,static final org.slf4j.Logger
ead,b,f_86300_,,ON_ICON_LOCATION,ON_ICON,field_22552,field,private static final ResourceLocation
